Year of Birth,Gender,Ethnicity,name
2011,MALE,HISPANIC,ANGEL
2016,MALE,HISPANIC,Jordan
2012,MALE,ASIAN AND PACI,KAI
2011,MALE,HISPANIC,ANGEL
2015,MALE,HISPANIC,Logan
2012,FEMALE,WHITE NON HISP,AVERY
2011,MALE,HISPANIC,CAMERON
2012,MALE,BLACK NON HISP,DYLAN
2014,FEMALE,BLACK NON HISPANIC,Alexis
2011,MALE,HISPANIC,ALEXIS
2015,MALE,BLACK NON HISPANIC,Ryan
2011,MALE,HISPANIC,ALEXIS
2016,MALE,WHITE NON HISPANIC,Ryan
2012,MALE,WHITE NON HISP,RYAN
2017,MALE,ASIAN AND PACIFIC ISLANDER,Dylan
2015,FEMALE,HISPANIC,Riley
2017,MALE,BLACK NON HISPANIC,Cameron
2014,MALE,HISPANIC,Ryan
2013,MALE,WHITE NON HISPANIC,Dylan
2013,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2012,FEMALE,WHITE NON HISP,YAEL
2012,MALE,WHITE NON HISP,RYAN
2017,MALE,BLACK NON HISPANIC,Dylan
2017,MALE,HISPANIC,Dylan
2012,MALE,WHITE NON HISP,RYAN
2011,MALE,ASIAN AND PACIFIC ISLANDER,RYAN
2013,MALE,HISPANIC,Dylan
2017,FEMALE,HISPANIC,Riley
2012,MALE,WHITE NON HISP,PARKER
2011,MALE,WHITE NON HISPANIC,RYAN
2013,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2011,FEMALE,BLACK NON HISPANIC,ANGEL
2013,FEMALE,WHITE NON HISPANIC,Eden
2015,MALE,HISPANIC,Angel
2013,MALE,HISPANIC,Ryan
2013,MALE,HISPANIC,Angel
2011,MALE,HISPANIC,DYLAN
2011,MALE,HISPANIC,ANGEL
2011,FEMALE,HISPANIC,TAYLOR
2014,MALE,HISPANIC,Milan
2012,MALE,WHITE NON HISP,RYAN
2011,FEMALE,BLACK NON HISPANIC,ARIEL
2014,MALE,HISPANIC,Dylan
2013,MALE,HISPANIC,Dylan
2013,FEMALE,BLACK NON HISPANIC,Taylor
2017,FEMALE,WHITE NON HISPANIC,Avery
2013,MALE,HISPANIC,Dylan
2017,MALE,WHITE NON HISPANIC,Ryan
2013,MALE,BLACK NON HISPANIC,Logan
2015,MALE,ASIAN AND PACIFIC ISLANDER,Ryan
2013,MALE,HISPANIC,Alexis
2017,MALE,HISPANIC,Logan
2017,MALE,BLACK NON HISPANIC,Jordan
2011,MALE,HISPANIC,ANGEL
2015,MALE,HISPANIC,Logan
2013,FEMALE,BLACK NON HISPANIC,Riley
2011,MALE,ASIAN AND PACIFIC ISLANDER,JIA
2012,MALE,WHITE NON HISP,DYLAN
2014,MALE,BLACK NON HISPANIC,Cameron
2013,MALE,HISPANIC,Angel
2016,MALE,WHITE NON HISPANIC,Dylan
2016,MALE,BLACK NON HISPANIC,Blake
2015,MALE,BLACK NON HISPANIC,Blake
2013,MALE,WHITE NON HISPANIC,Ryan
2011,FEMALE,ASIAN AND PACIFIC ISLANDER,TENZIN
2011,MALE,HISPANIC,ANGEL
2011,MALE,HISPANIC,DYLAN
